id,rajaongkir_id,province_id,name,created_at,updated_at
1,1,1,MATARAM,2026-02-03 15:56:45,2026-02-03 15:56:45
2,2,1,BIMA,2026-02-03 15:56:45,2026-02-03 15:56:45
3,3,1,DOMPU,2026-02-03 15:56:45,2026-02-03 15:56:45
4,4,1,LOMBOK TENGAH,2026-02-03 15:56:45,2026-02-03 15:56:45
5,5,1,LOMBOK TIMUR,2026-02-03 15:56:45,2026-02-03 15:56:45
6,7,1,SUMBAWA,2026-02-03 15:56:45,2026-02-03 15:56:45
7,8,1,LOMBOK BARAT,2026-02-03 15:56:45,2026-02-03 15:56:45
8,9,1,LOMBOK UTARA,2026-02-03 15:56:45,2026-02-03 15:56:45
9,10,1,SUMBAWA BARAT,2026-02-03 15:56:45,2026-02-03 15:56:45
10,11,2,AMBON,2026-02-03 15:56:46,2026-02-03 15:56:46
11,12,2,MALUKU TENGAH,2026-02-03 15:56:46,2026-02-03 15:56:46
12,14,2,MALUKU TENGGARA,2026-02-03 15:56:46,2026-02-03 15:56:46
13,15,2,TUAL,2026-02-03 15:56:46,2026-02-03 15:56:46
14,16,2,BURU,2026-02-03 15:56:46,2026-02-03 15:56:46
15,17,2,BURU SELATAN,2026-02-03 15:56:46,2026-02-03 15:56:46
16,19,2,KEPULAUAN ARU,2026-02-03 15:56:46,2026-02-03 15:56:46
17,21,2,SERAM BAGIAN BARAT,2026-02-03 15:56:46,2026-02-03 15:56:46
18,23,2,SERAM BAGIAN TIMUR,2026-02-03 15:56:46,2026-02-03 15:56:46
19,24,2,MALUKU BARAT DAYA,2026-02-03 15:56:46,2026-02-03 15:56:46
20,25,2,MALUKU TENGGARA BARAT,2026-02-03 15:56:46,2026-02-03 15:56:46
21,29,3,BANJARMASIN,2026-02-03 15:56:46,2026-02-03 15:56:46
22,30,3,HULU SUNGAI TENGAH,2026-02-03 15:56:46,2026-02-03 15:56:46
23,32,3,HULU SUNGAI SELATAN,2026-02-03 15:56:46,2026-02-03 15:56:46
24,34,3,KOTABARU,2026-02-03 15:56:46,2026-02-03 15:56:46
25,35,3,TABALONG,2026-02-03 15:56:46,2026-02-03 15:56:46
26,36,3,BANJARBARU,2026-02-03 15:56:46,2026-02-03 15:56:46
27,38,3,HULU SUNGAI UTARA,2026-02-03 15:56:46,2026-02-03 15:56:46
28,39,3,BARITO KUALA,2026-02-03 15:56:46,2026-02-03 15:56:46
29,40,3,BANJAR,2026-02-03 15:56:46,2026-02-03 15:56:46
30,42,3,TANAH LAUT,2026-02-03 15:56:46,2026-02-03 15:56:46
31,44,3,TAPIN,2026-02-03 15:56:46,2026-02-03 15:56:46
32,53,3,BALANGAN,2026-02-03 15:56:46,2026-02-03 15:56:46
33,54,3,TANAH BUMBU,2026-02-03 15:56:46,2026-02-03 15:56:46
34,46,4,BARITO UTARA,2026-02-03 15:56:47,2026-02-03 15:56:47
35,48,4,BARITO TIMUR,2026-02-03 15:56:47,2026-02-03 15:56:47
36,50,4,MURUNG RAYA,2026-02-03 15:56:47,2026-02-03 15:56:47
37,52,4,BARITO SELATAN,2026-02-03 15:56:47,2026-02-03 15:56:47
38,456,4,PALANGKA RAYA,2026-02-03 15:56:47,2026-02-03 15:56:47
39,458,4,KATINGAN,2026-02-03 15:56:47,2026-02-03 15:56:47
40,460,4,KAPUAS,2026-02-03 15:56:47,2026-02-03 15:56:47
41,462,4,GUNUNG MAS,2026-02-03 15:56:47,2026-02-03 15:56:47
42,464,4,SERUYAN,2026-02-03 15:56:47,2026-02-03 15:56:47
43,466,4,KOTAWARINGIN BARAT,2026-02-03 15:56:47,2026-02-03 15:56:47
44,468,4,KOTAWARINGIN TIMUR,2026-02-03 15:56:47,2026-02-03 15:56:47
45,470,4,LAMANDAU,2026-02-03 15:56:47,2026-02-03 15:56:47
46,471,4,PULANG PISAU,2026-02-03 15:56:47,2026-02-03 15:56:47
47,472,4,SUKAMARA,2026-02-03 15:56:47,2026-02-03 15:56:47
48,55,5,BANDUNG,2026-02-03 15:56:47,2026-02-03 15:56:47
49,56,5,CIMAHI,2026-02-03 15:56:47,2026-02-03 15:56:47
50,57,5,SUMEDANG,2026-02-03 15:56:47,2026-02-03 15:56:47
51,59,5,GARUT,2026-02-03 15:56:47,2026-02-03 15:56:47
52,60,5,BANDUNG BARAT,2026-02-03 15:56:47,2026-02-03 15:56:47
53,62,5,CIANJUR,2026-02-03 15:56:47,2026-02-03 15:56:47
54,63,5,BEKASI,2026-02-03 15:56:47,2026-02-03 15:56:47
55,77,5,BOGOR,2026-02-03 15:56:47,2026-02-03 15:56:47
56,129,5,CIREBON,2026-02-03 15:56:47,2026-02-03 15:56:47
57,131,5,INDRAMAYU,2026-02-03 15:56:47,2026-02-03 15:56:47
58,132,5,KUNINGAN,2026-02-03 15:56:47,2026-02-03 15:56:47
59,133,5,MAJALENGKA,2026-02-03 15:56:47,2026-02-03 15:56:47
60,199,5,DEPOK,2026-02-03 15:56:47,2026-02-03 15:56:47
61,329,5,KARAWANG,2026-02-03 15:56:47,2026-02-03 15:56:47
62,532,5,PURWAKARTA,2026-02-03 15:56:47,2026-02-03 15:56:47
63,533,5,SUBANG,2026-02-03 15:56:47,2026-02-03 15:56:47
64,538,5,SUKABUMI,2026-02-03 15:56:47,2026-02-03 15:56:47
65,632,5,TASIKMALAYA,2026-02-03 15:56:47,2026-02-03 15:56:47
66,633,5,BANJAR,2026-02-03 15:56:47,2026-02-03 15:56:47
67,634,5,CIAMIS,2026-02-03 15:56:47,2026-02-03 15:56:47
68,635,5,PANGANDARAN,2026-02-03 15:56:47,2026-02-03 15:56:47
69,64,6,BENGKULU,2026-02-03 15:56:47,2026-02-03 15:56:47
70,65,6,BENGKULU UTARA,2026-02-03 15:56:47,2026-02-03 15:56:47
71,66,6,BENGKULU TENGAH,2026-02-03 15:56:47,2026-02-03 15:56:47
72,67,6,REJANG LEBONG,2026-02-03 15:56:47,2026-02-03 15:56:47
